      DepSM      T090C      Sal00  Sigma-t00       FlSP    WetStar SeaTurbMtr       SvCM   Sbeox0PS Sbeox0Mg/L       Flag
      0.109    21.2806    24.8603    16.7221 5.0061e-01     0.3580      0.524    1513.77  101.73169    7.80063 0.0000e+00
      0.130    21.2806    24.8599    16.7217 5.0061e-01     0.3567      0.520    1513.77  101.73196    7.80067 0.0000e+00
      0.109    21.2807    24.8598    16.7216 4.8840e-01     0.3555      0.524    1513.77  101.73171    7.80064 0.0000e+00
      0.109    21.2806    24.8601    16.7219 5.0061e-01     0.3555      0.531    1513.77  101.78992    7.80511 0.0000e+00
      0.120    21.2810    24.8598    16.7216 5.0061e-01     0.3555      0.538    1513.77  101.73557    7.80090 0.0000e+00
      0.107    21.2809    24.8600    16.7217 5.0061e-01     0.3567      0.535    1513.77  101.79347    7.80534 0.0000e+00
      0.109    21.2806    24.8599    16.7217 4.8840e-01     0.3555      0.531    1513.77  101.79698    7.80566 0.0000e+00
      0.096    21.2810    24.8595    16.7213 5.0061e-01     0.3555      0.527    1513.77  101.80023    7.80588 0.0000e+00
      0.109    21.2806    24.8598    16.7217 5.0061e-01     0.3555      0.524    1513.77  101.80357    7.80617 0.0000e+00
      0.094    21.2809    24.8598    16.7216 5.0061e-01     0.3531      0.520    1513.77  101.80647    7.80635 0.0000e+00
      0.109    21.2806    24.8599    16.7217 5.0061e-01     0.3519      0.524    1513.77  101.86774    7.81108 0.0000e+00
      0.096    21.2806    24.8599    16.7218 4.8840e-01     0.3543      0.524    1513.77  101.81577    7.80710 0.0000e+00
      0.107    21.2807    24.8597    16.7215 4.8840e-01     0.3567      0.524    1513.77  101.87657    7.81175 0.0000e+00
      0.096    21.2806    24.8598    16.7217 5.0061e-01     0.3543      0.520    1513.77  101.82413    7.80774 0.0000e+00
      0.084    21.2804    24.8601    16.7219 5.0061e-01     0.3543      0.516    1513.77  101.88412    7.81236 0.0000e+00
      0.109    21.2806    24.8597    16.7216 5.0061e-01     0.3519      0.516    1513.77  101.88990    7.81279 0.0000e+00
      0.094    21.2804    24.8598    16.7217 4.8840e-01     0.3531      0.516    1513.77  101.83661    7.80873 0.0000e+00
      0.084    21.2803    24.8599    16.7219 5.0061e-01     0.3531      0.516    1513.77  101.89582    7.81329 0.0000e+00
      0.096    21.2801    24.8598    16.7218 5.1282e-01     0.3531      0.520    1513.77  101.84237    7.80922 0.0000e+00
      0.096    21.2795    24.8601    16.7222 5.1282e-01     0.3543      0.524    1513.77  101.84296    7.80933 0.0000e+00
      0.094    21.2796    24.8599    16.7220 5.0061e-01     0.3543      0.535    1513.77  101.84342    7.80937 0.0000e+00
      0.084    21.2797    24.8595    16.7217 5.1282e-01     0.3543      0.553    1513.77  101.78541    7.80492 0.0000e+00
      0.096    21.2799    24.8598    16.7219 5.0061e-01     0.3519      0.553    1513.77  101.78204    7.80462 0.0000e+00
      0.083    21.2803    24.8598    16.7218 5.0061e-01     0.3519      0.542    1513.77  101.77838    7.80429 0.0000e+00
      0.096    21.2804    24.8594    16.7214 5.0061e-01     0.3519      0.535    1513.77  101.71680    7.79956 0.0000e+00
      0.084    21.2807    24.8595    16.7214 5.1282e-01     0.3531      0.531    1513.77  101.70947    7.79894 0.0000e+00
      0.084    21.2813    24.8593    16.7211 5.2503e-01     0.3519      0.531    1513.77  101.70246    7.79834 0.0000e+00
      0.094    21.2816    24.8591    16.7209 5.1282e-01     0.3531      0.531    1513.77  101.63749    7.79332 0.0000e+00
