      DepSM      T090C      Sal00  Sigma-t00       FlSP    WetStar SeaTurbMtr       SvCM   Sbeox0PS Sbeox0Mg/L       Flag
     -0.012    20.9597    12.6390     7.5649 3.0647e+00     0.4972      0.993    1499.40   97.78128    8.10229 0.0000e+00
      0.014    20.9597    12.6370     7.5633 3.0525e+00     0.4972      0.982    1499.40   97.89812    8.11206 0.0000e+00
     -0.022    20.9595    12.6362     7.5628 3.0525e+00     0.4972      0.974    1499.40   98.02170    8.12237 0.0000e+00
     -0.022    20.9595    12.6319     7.5595 3.0525e+00     0.4984      0.967    1499.39   98.15289    8.13345 0.0000e+00
     -0.023    20.9597    12.6298     7.5579 3.0647e+00     0.4972      0.960    1499.39   98.29094    8.14495 0.0000e+00
     -0.046    20.9599    12.6291     7.5573 3.1013e+00     0.4984      0.960    1499.39   98.43523    8.15692 0.0000e+00
     -0.046    20.9602    12.6293     7.5574 3.1258e+00     0.4959      0.963    1499.39   98.52774    8.16454 0.0000e+00
     -0.048    20.9606    12.6304     7.5581 3.1136e+00     0.4959      0.978    1499.39   98.68063    8.17709 0.0000e+00
     -0.057    20.9606    12.6319     7.5593 3.1258e+00     0.4959      0.963    1499.40   98.83908    8.19014 0.0000e+00
     -0.057    20.9606    12.6349     7.5616 3.1380e+00     0.4972      0.930    1499.40   99.00303    8.20358 0.0000e+00
     -0.072    20.9611    12.6361     7.5623 3.1624e+00     0.4984      0.916    1499.40   99.11362    8.21261 0.0000e+00
     -0.070    20.9609    12.6371     7.5632 3.1624e+00     0.4984      0.912    1499.40   99.22534    8.22184 0.0000e+00
     -0.057    20.9608    12.6384     7.5641 3.1502e+00     0.5008      0.912    1499.40   99.39627    8.23598 0.0000e+00
     -0.083    20.9609    12.6382     7.5640 3.1380e+00     0.4996      0.905    1499.40   99.51289    8.24562 0.0000e+00
     -0.070    20.9613    12.6386     7.5642 3.1258e+00     0.4972      0.897    1499.41   99.63033    8.25527 0.0000e+00
     -0.070    20.9613    12.6395     7.5649 3.1258e+00     0.4959      0.897    1499.41   99.74774    8.26496 0.0000e+00
     -0.070    20.9618    12.6396     7.5648 3.1136e+00     0.4959      0.905    1499.41   99.86518    8.27461 0.0000e+00
     -0.061    20.9615    12.6406     7.5657 3.1013e+00     0.4959      0.916    1499.41   99.98253    8.28433 0.0000e+00
     -0.070    20.9623    12.6413     7.5660 3.1013e+00     0.4972      0.919    1499.41  100.04112    8.28902 0.0000e+00
     -0.046    20.9627    12.6419     7.5663 3.1013e+00     0.4984      0.930    1499.41  100.15413    8.29830 0.0000e+00
     -0.048    20.9628    12.6422     7.5665 3.1013e+00     0.4959      0.938    1499.41  100.20805    8.30273 0.0000e+00
     -0.046    20.9630    12.6418     7.5662 3.1013e+00     0.4972      0.930    1499.41  100.31587    8.31165 0.0000e+00
     -0.046    20.9632    12.6390     7.5640 3.1013e+00     0.4972      0.919    1499.41  100.48129    8.32546 0.0000e+00
     -0.023    20.9635    12.6257     7.5539 3.1136e+00     0.4972      0.901    1499.40  100.59166    8.33522 0.0000e+00
     -0.022    20.9637    12.6185     7.5484 3.1258e+00     0.4984      0.886    1499.39  100.64237    8.33973 0.0000e+00
     -0.010    20.9639    12.6108     7.5425 3.1258e+00     0.4984      0.879    1499.38  100.74640    8.34870 0.0000e+00
     -0.023    20.9642    12.5957     7.5311 3.1013e+00     0.4972      0.879    1499.37  100.84883    8.35787 0.0000e+00
      0.003    20.9644    12.5957     7.5310 3.1013e+00     0.4984      0.890    1499.37  100.95028    8.36625 0.0000e+00
     -0.010    20.9646    12.5910     7.5274 3.1013e+00     0.4984      0.901    1499.36  101.04961    8.37469 0.0000e+00
      0.012    20.9649    12.5847     7.5226 3.1258e+00     0.4996      0.905    1499.36  101.14760    8.38306 0.0000e+00
      0.014    20.9651    12.5879     7.5250 3.1380e+00     0.4972      0.908    1499.36  101.24337    8.39081 0.0000e+00
      0.025    20.9649    12.5845     7.5225 3.1502e+00     0.4984      0.930    1499.36  101.33712    8.39878 0.0000e+00
      0.014    20.9644    12.5806     7.5196 3.1502e+00     0.5008      0.952    1499.35  101.37003    8.40178 0.0000e+00
      0.037    20.9642    12.5806     7.5197 3.1502e+00     0.5033      0.949    1499.35  101.45546    8.40889 0.0000e+00
      0.025    20.9630    12.5777     7.5178 3.1624e+00     0.5008      0.930    1499.34  101.53797    8.41606 0.0000e+00
      0.025    20.9594    12.5778     7.5187 3.1502e+00     0.5008      0.919    1499.33  101.61794    8.42327 0.0000e+00
      0.037    20.9564    12.5794     7.5206 3.1502e+00     0.5033      0.923    1499.33  101.69532    8.43008 0.0000e+00
