      DepSM      T090C      Sal00  Sigma-t00       FlSP    WetStar SeaTurbMtr       SvCM   Sbeox0PS Sbeox0Mg/L       Flag
     -0.139    20.9195     7.4044     3.6215 5.4945e-01     0.2237      0.542    1493.49   85.60086    7.31933 0.0000e+00
     -0.149    20.9146     6.7037     3.0933 5.4945e-01     0.2249      0.564    1492.69   85.48376    7.34004 0.0000e+00
     -0.137    20.9155     6.8431     3.1984 5.3724e-01     0.2237      0.582    1492.85   85.41818    7.32830 0.0000e+00
     -0.139    20.9136     5.9751     2.5429 5.3724e-01     0.2224      0.645    1491.88   85.34878    7.35990 0.0000e+00
     -0.149    20.9098     5.4119     2.1180 5.3724e-01     0.2224      0.729    1491.24   85.21758    7.37338 0.0000e+00
     -0.149    20.9103     5.1286     1.9037 5.4945e-01     0.2212      0.758    1490.92   85.13829    7.37867 0.0000e+00
     -0.152    20.9084     6.3466     2.8248 5.4945e-01     0.2224      0.894    1492.27   84.99768    7.31445 0.0000e+00
     -0.137    20.9036     6.5225     2.9588 5.4945e-01     0.2200      0.930    1492.46   84.90888    7.29997 0.0000e+00
     -0.149    20.9018     6.0584     2.6085 5.4945e-01     0.2175      0.857    1491.93   84.75953    7.30719 0.0000e+00
     -0.152    20.9014     6.6605     3.0636 5.4945e-01     0.2163      0.762    1492.60   84.60452    7.26823 0.0000e+00
     -0.149    20.8997     6.6626     3.0656 5.3724e-01     0.2151      0.692    1492.60   84.50216    7.25959 0.0000e+00
     -0.162    20.9013     5.6853     2.3266 5.3724e-01     0.2163      0.667    1491.52   84.39850    7.29204 0.0000e+00
     -0.152    20.9006     6.8931     3.2395 5.4945e-01     0.2188      0.681    1492.86   84.23526    7.22678 0.0000e+00
     -0.149    20.8984     6.6309     3.0420 5.4945e-01     0.2200      0.678    1492.56   84.06688    7.22372 0.0000e+00
     -0.173    20.8997     6.3107     2.7996 5.3724e-01     0.2224      0.652    1492.21   83.89403    7.22220 0.0000e+00
     -0.137    20.9011     5.6506     2.3004 5.4945e-01     0.2212      0.626    1491.48   83.77583    7.23974 0.0000e+00
